,,0
stringency_index,total_boosters_per_hundred,-0.3665428056935841
total_boosters_per_hundred,stringency_index,-0.3665428056935841
people_fully_vaccinated_per_hundred,stringency_index,-0.36217947019502134
stringency_index,people_fully_vaccinated_per_hundred,-0.36217947019502134
total_vaccinations_per_hundred,stringency_index,-0.3607822356962652
stringency_index,total_vaccinations_per_hundred,-0.3607822356962652
people_vaccinated_per_hundred,stringency_index,-0.3519020311703861
stringency_index,people_vaccinated_per_hundred,-0.3519020311703861
life_expectancy,total_deaths,-0.3202274469713274
total_deaths,life_expectancy,-0.3202274469713274
total_cases_per_million,stringency_index,-0.3071673595363907
stringency_index,total_cases_per_million,-0.3071673595363907
total_cases_per_million,cardiovasc_death_rate,-0.2870421718938053
cardiovasc_death_rate,total_cases_per_million,-0.2870421718938053
life_expectancy,total_cases,-0.27441767765247044
total_cases,life_expectancy,-0.27441767765247044
extreme_poverty,total_cases_per_million,-0.2626184618028478
total_cases_per_million,extreme_poverty,-0.2626184618028478
new_deaths_smoothed,life_expectancy,-0.25899157097809705
life_expectancy,new_deaths_smoothed,-0.25899157097809705
total_vaccinations_per_hundred,extreme_poverty,-0.25555267965169604
extreme_poverty,total_vaccinations_per_hundred,-0.25555267965169604
gdp_per_capita,extreme_poverty,-0.253833492394856
extreme_poverty,gdp_per_capita,-0.253833492394856
extreme_poverty,total_deaths_per_million,-0.24494970449345235
total_deaths_per_million,extreme_poverty,-0.24494970449345235
total_boosters_per_hundred,extreme_poverty,-0.24331151125413178
extreme_poverty,total_boosters_per_hundred,-0.24331151125413178
extreme_poverty,people_fully_vaccinated_per_hundred,-0.22447314819103506
people_fully_vaccinated_per_hundred,extreme_poverty,-0.22447314819103506
extreme_poverty,people_vaccinated_per_hundred,-0.22010337530746557
people_vaccinated_per_hundred,extreme_poverty,-0.22010337530746557
total_cases_per_million,handwashing_facilities,-0.21588835824781263
handwashing_facilities,total_cases_per_million,-0.21588835824781263
aged_70_older,extreme_poverty,-0.21093061464317392
extreme_poverty,aged_70_older,-0.21093061464317392
new_people_vaccinated_smoothed_per_hundred,total_boosters_per_hundred,-0.20900401222385906
total_boosters_per_hundred,new_people_vaccinated_smoothed_per_hundred,-0.20900401222385906
hospital_beds_per_thousand,extreme_poverty,-0.19951591548901917
extreme_poverty,hospital_beds_per_thousand,-0.19951591548901917
aged_65_older,extreme_poverty,-0.19460399704579767
extreme_poverty,aged_65_older,-0.19460399704579767
excess_mortality_cumulative_per_million,extreme_poverty,-0.18203886860796625
extreme_poverty,excess_mortality_cumulative_per_million,-0.18203886860796625
extreme_poverty,excess_mortality_cumulative,-0.17983018579131654
excess_mortality_cumulative,extreme_poverty,-0.17983018579131654
total_deaths_per_million,stringency_index,-0.16796620293280745
stringency_index,total_deaths_per_million,-0.16796620293280745
total_deaths,cardiovasc_death_rate,-0.16691009120722827
cardiovasc_death_rate,total_deaths,-0.16691009120722827
new_cases_smoothed,life_expectancy,-0.16484374679701472
life_expectancy,new_cases_smoothed,-0.16484374679701472
total_boosters,stringency_index,-0.16323900323474122
stringency_index,total_boosters,-0.16323900323474122
female_smokers,extreme_poverty,-0.16198491299650786
extreme_poverty,female_smokers,-0.16198491299650786
cardiovasc_death_rate,total_cases,-0.15604381932375808
total_cases,cardiovasc_death_rate,-0.15604381932375808
gdp_per_capita,handwashing_facilities,-0.15146366527169558
handwashing_facilities,gdp_per_capita,-0.15146366527169558
new_vaccinations_smoothed_per_million,total_boosters_per_hundred,-0.14566948671881833
total_boosters_per_hundred,new_vaccinations_smoothed_per_million,-0.14566948671881833
new_deaths_smoothed,cardiovasc_death_rate,-0.14531508393145104
cardiovasc_death_rate,new_deaths_smoothed,-0.14531508393145104
stringency_index,total_vaccinations,-0.1439637844787774
total_vaccinations,stringency_index,-0.1439637844787774
extreme_poverty,diabetes_prevalence,-0.14285356172457797
diabetes_prevalence,extreme_poverty,-0.14285356172457797
population_density,cardiovasc_death_rate,-0.14274673123116283
cardiovasc_death_rate,population_density,-0.14274673123116283
total_deaths,human_development_index,-0.13643934320566312
human_development_index,total_deaths,-0.13643934320566312
stringency_index,people_fully_vaccinated,-0.13637299189683486
people_fully_vaccinated,stringency_index,-0.13637299189683486
diabetes_prevalence,total_deaths,-0.13520583180355722
total_deaths,diabetes_prevalence,-0.13520583180355722
new_vaccinations,total_boosters_per_hundred,-0.13494058522928046
total_boosters_per_hundred,new_vaccinations,-0.13494058522928046
stringency_index,people_vaccinated,-0.13266687001990182
people_vaccinated,stringency_index,-0.13266687001990182
handwashing_facilities,weekly_hosp_admissions_per_million,-0.13052097807327814
weekly_hosp_admissions_per_million,handwashing_facilities,-0.13052097807327814
new_deaths_smoothed,human_development_index,-0.1300175134293211
human_development_index,new_deaths_smoothed,-0.1300175134293211
stringency_index,total_deaths,-0.1294270400094944
total_deaths,stringency_index,-0.1294270400094944
female_smokers,handwashing_facilities,-0.12813651790243064
handwashing_facilities,female_smokers,-0.12813651790243064
extreme_poverty,total_tests_per_thousand,-0.12669467605212123
total_tests_per_thousand,extreme_poverty,-0.12669467605212123
handwashing_facilities,total_tests_per_thousand,-0.1263836827943546
total_tests_per_thousand,handwashing_facilities,-0.1263836827943546
total_cases_per_million,new_people_vaccinated_smoothed_per_hundred,-0.125330338341248
new_people_vaccinated_smoothed_per_hundred,total_cases_per_million,-0.125330338341248
new_deaths_smoothed,diabetes_prevalence,-0.1223364957627105
diabetes_prevalence,new_deaths_smoothed,-0.1223364957627105
cardiovasc_death_rate,total_boosters_per_hundred,-0.12071568339661572
total_boosters_per_hundred,cardiovasc_death_rate,-0.12071568339661572
total_cases,diabetes_prevalence,-0.12032573498380536
diabetes_prevalence,total_cases,-0.12032573498380536
stringency_index,total_cases,-0.12024498536593793
total_cases,stringency_index,-0.12024498536593793
median_age,total_deaths,-0.11826383327215513
total_deaths,median_age,-0.11826383327215513
new_people_vaccinated_smoothed_per_hundred,people_fully_vaccinated_per_hundred,-0.11769635248775241
people_fully_vaccinated_per_hundred,new_people_vaccinated_smoothed_per_hundred,-0.11769635248775241
new_people_vaccinated_smoothed_per_hundred,total_vaccinations_per_hundred,-0.11766622404396526
total_vaccinations_per_hundred,new_people_vaccinated_smoothed_per_hundred,-0.11766622404396526
total_boosters,new_vaccinations_smoothed_per_million,-0.1174451342524247
new_vaccinations_smoothed_per_million,total_boosters,-0.1174451342524247
new_people_vaccinated_smoothed_per_hundred,total_boosters,-0.11564496881323717
total_boosters,new_people_vaccinated_smoothed_per_hundred,-0.11564496881323717
human_development_index,total_cases,-0.11507740142263304
total_cases,human_development_index,-0.11507740142263304
total_boosters,new_deaths_smoothed_per_million,-0.11269689933492594
people_fully_vaccinated,new_deaths_smoothed_per_million,-0.11009167304254994
total_vaccinations,new_deaths_smoothed_per_million,-0.10873871874345223
cardiovasc_death_rate,total_vaccinations_per_hundred,-0.10855929784865896
total_vaccinations_per_hundred,cardiovasc_death_rate,-0.10855929784865896
people_vaccinated,new_deaths_smoothed_per_million,-0.10841618481938951
total_boosters_per_hundred,new_deaths_smoothed_per_million,-0.1079592738135786
handwashing_facilities,icu_patients_per_million,-0.1041572130907503
icu_patients_per_million,handwashing_facilities,-0.1041572130907503
extreme_poverty,new_deaths_smoothed_per_million,-0.10352624161178542
people_vaccinated,female_smokers,-0.10313692659014564
female_smokers,people_vaccinated,-0.10313692659014564
new_tests_smoothed_per_thousand,extreme_poverty,-0.10285588518796285
extreme_poverty,new_tests_smoothed_per_thousand,-0.10285588518796285
excess_mortality,extreme_poverty,-0.10204130357868932
extreme_poverty,excess_mortality,-0.10204130357868932
new_deaths_smoothed,median_age,-0.10108912982161945
median_age,new_deaths_smoothed,-0.10108912982161945
extreme_poverty,total_boosters,-0.10107734259287018
total_boosters,extreme_poverty,-0.10107734259287018
total_cases_per_million,new_vaccinations,-0.10078636650578048
new_vaccinations,total_cases_per_million,-0.10078636650578048
new_vaccinations_smoothed_per_million,total_cases_per_million,-0.10077601865565312
total_cases_per_million,new_vaccinations_smoothed_per_million,-0.10077601865565312
new_cases_smoothed_per_million,cardiovasc_death_rate,-0.10057674133027276
cardiovasc_death_rate,new_cases_smoothed_per_million,-0.10057674133027276
median_age,extreme_poverty,-0.0998374923955294
extreme_poverty,median_age,-0.0998374923955294
