,,0
population_density,gdp_per_capita,0.20503365848261706
extreme_poverty,cardiovasc_death_rate,0.259206772959846
positive_rate,aged_65_older,0.2966968636545431
new_deaths_per_million,new_deaths_smoothed_per_million,0.3638928799272225
new_cases_per_million,new_cases_smoothed_per_million,0.3703730291344391
new_cases_smoothed_per_million,new_cases_per_million,0.3703730291344391
handwashing_facilities,cardiovasc_death_rate,0.38426635472925225
diabetes_prevalence,human_development_index,0.3847606234149421
excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,0.4245879769263384
excess_mortality,excess_mortality_cumulative,0.44505372064665893
new_vaccinations,new_vaccinations_smoothed,0.445303857090107
new_tests,weekly_hosp_admissions,0.4736290876218509
cardiovasc_death_rate,human_development_index,0.47622961039151984
new_deaths_smoothed,new_cases_smoothed,0.4926841330443729
new_cases_smoothed,new_deaths_smoothed,0.4926841330443729
new_cases,new_deaths,0.5006144421179263
new_deaths,new_cases,0.5006144421179263
weekly_icu_admissions,weekly_icu_admissions_per_million,0.5165857462763351
gdp_per_capita,aged_65_older,0.5228941629454489
tests_per_case,new_tests_smoothed,0.5388300128207636
life_expectancy,median_age,0.5547863522461961
stringency_index,reproduction_rate,0.5587551999092273
reproduction_rate,human_development_index,0.559742496697749
hospital_beds_per_thousand,aged_65_older,0.5922122366853491
male_smokers,human_development_index,0.5922603014886841
weekly_icu_admissions_per_million,weekly_hosp_admissions_per_million,0.6087174047987096
weekly_hosp_admissions_per_million,weekly_icu_admissions_per_million,0.6087174047987096
total_cases_per_million,total_boosters_per_hundred,0.6241934267521165
hosp_patients_per_million,icu_patients_per_million,0.6478993794754075
icu_patients_per_million,hosp_patients_per_million,0.6478993794754075
female_smokers,aged_65_older,0.6825094730458988
new_tests_per_thousand,new_tests_smoothed_per_thousand,0.7164469589054467
human_development_index,median_age,0.7280257141243694
excess_mortality_cumulative,excess_mortality_cumulative_per_million,0.7302982083538161
total_tests_per_thousand,new_tests_smoothed_per_thousand,0.7465930996226867
new_tests_smoothed_per_thousand,total_tests_per_thousand,0.7465930996226867
excess_mortality_cumulative_per_million,total_deaths_per_million,0.7493893940855255
total_deaths_per_million,excess_mortality_cumulative_per_million,0.7493893940855255
new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,0.7507964871694977
new_people_vaccinated_smoothed_per_hundred,new_vaccinations_smoothed_per_million,0.7507964871694977
median_age,aged_70_older,0.8390530586632826
hosp_patients,weekly_hosp_admissions,0.888146544232375
weekly_hosp_admissions,icu_patients,0.9044765902762117
icu_patients,weekly_hosp_admissions,0.9044765902762117
new_people_vaccinated_smoothed,new_vaccinations_smoothed,0.9109283582590267
new_vaccinations_smoothed,new_people_vaccinated_smoothed,0.9109283582590267
total_boosters_per_hundred,total_vaccinations_per_hundred,0.9130528459008821
total_tests,new_tests_smoothed,0.928619889902765
new_tests_smoothed,total_tests,0.928619889902765
total_cases,total_deaths,0.9424437874796181
total_deaths,total_cases,0.9424437874796181
aged_65_older,aged_70_older,0.9511879783024334
aged_70_older,aged_65_older,0.9511879783024334
total_boosters,total_vaccinations,0.9598915716977356
total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,0.9819435224320975
total_vaccinations,people_fully_vaccinated,0.983288645351196
people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,0.9887736209741611
people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,0.9887736209741611
people_fully_vaccinated,people_vaccinated,0.9903345154230082
people_vaccinated,people_fully_vaccinated,0.9903345154230082
